GStreamer element appsink not found. Please install it.
127.0.0.1 - - [02/Aug/2026 21:25:30] "POST /api/native/choose-media HTTP/1.1" 400 -
127.0.0.1 - - [02/Aug/2026 21:25:30] "POST /api/native/choose-media HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 21:25:30] "POST /api/library/items/item:3d883152-9ff7-4d47-8a5f-2a5dcfbf92dd/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 21:25:31] "POST /api/library/items/item:3d883152-9ff7-4d47-8a5f-2a5dcfbf92dd/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 21:25:31] "POST /api/library/items/item:3d883152-9ff7-4d47-8a5f-2a5dcfbf92dd/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 21:25:31] "POST /api/library/items/item:3d883152-9ff7-4d47-8a5f-2a5dcfbf92dd/render-frame HTTP/1.1" 400 -
127.0.0.1 - - [02/Aug/2026 21:25:31] "POST /api/library/items/item:3d883152-9ff7-4d47-8a5f-2a5dcfbf92dd/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 21:25:33] "POST /api/library/save/lighting HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 21:25:35] "POST /api/native/choose-media HTTP/1.1" 400 -
127.0.0.1 - - [02/Aug/2026 21:25:35] "POST /api/native/choose-media HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 21:25:35] "POST /api/library/items/item:c7bcd3f1-feb8-42f3-9cd7-bf093df0aa19/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 21:25:35] "POST /api/library/items/item:c7bcd3f1-feb8-42f3-9cd7-bf093df0aa19/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 21:25:35] "POST /api/library/items/item:c7bcd3f1-feb8-42f3-9cd7-bf093df0aa19/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 21:25:35] "POST /api/library/items/item:c7bcd3f1-feb8-42f3-9cd7-bf093df0aa19/render-frame HTTP/1.1" 400 -
127.0.0.1 - - [02/Aug/2026 21:25:35] "POST /api/library/items/item:c7bcd3f1-feb8-42f3-9cd7-bf093df0aa19/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 21:25:38] "POST /api/library/save/lighting HTTP/1.1" 201 -
