GStreamer element appsink not found. Please install it.
127.0.0.1 - - [02/Aug/2026 20:50:09] "POST /api/native/choose-media HTTP/1.1" 400 -
127.0.0.1 - - [02/Aug/2026 20:50:09] "POST /api/native/choose-media HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:09] "POST /api/library/items/item:42a070f9-a603-4023-8325-70ed7c1cb09e/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:10] "POST /api/library/items/item:42a070f9-a603-4023-8325-70ed7c1cb09e/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:10] "POST /api/library/items/item:42a070f9-a603-4023-8325-70ed7c1cb09e/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:10] "POST /api/library/items/item:42a070f9-a603-4023-8325-70ed7c1cb09e/render-frame HTTP/1.1" 400 -
127.0.0.1 - - [02/Aug/2026 20:50:10] "POST /api/library/items/item:42a070f9-a603-4023-8325-70ed7c1cb09e/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:12] "POST /api/library/save/lighting HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:13] "POST /api/native/choose-media HTTP/1.1" 400 -
127.0.0.1 - - [02/Aug/2026 20:50:14] "POST /api/native/choose-media HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:14] "POST /api/library/items/item:8b241a9d-1d66-494f-833c-fbf90ad3bd8a/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:14] "POST /api/library/items/item:8b241a9d-1d66-494f-833c-fbf90ad3bd8a/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:14] "POST /api/library/items/item:8b241a9d-1d66-494f-833c-fbf90ad3bd8a/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:14] "POST /api/library/items/item:8b241a9d-1d66-494f-833c-fbf90ad3bd8a/render-frame HTTP/1.1" 400 -
127.0.0.1 - - [02/Aug/2026 20:50:14] "POST /api/library/items/item:8b241a9d-1d66-494f-833c-fbf90ad3bd8a/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:16] "POST /api/library/save/lighting HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:18] "POST /api/native/choose-media HTTP/1.1" 400 -
127.0.0.1 - - [02/Aug/2026 20:50:18] "POST /api/native/choose-media HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:18] "POST /api/library/items/item:86494e97-9e4f-48e5-8635-a6c1c3897cac/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:18] "POST /api/library/items/item:86494e97-9e4f-48e5-8635-a6c1c3897cac/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:18] "POST /api/library/items/item:86494e97-9e4f-48e5-8635-a6c1c3897cac/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:18] "POST /api/library/items/item:86494e97-9e4f-48e5-8635-a6c1c3897cac/render-frame HTTP/1.1" 400 -
127.0.0.1 - - [02/Aug/2026 20:50:18] "POST /api/library/items/item:86494e97-9e4f-48e5-8635-a6c1c3897cac/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:21] "POST /api/library/save/lighting HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:23] "POST /api/native/choose-media HTTP/1.1" 400 -
127.0.0.1 - - [02/Aug/2026 20:50:23] "POST /api/library/items/item:42a070f9-a603-4023-8325-70ed7c1cb09e/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:24] "POST /api/library/items/item:42a070f9-a603-4023-8325-70ed7c1cb09e/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:24] "POST /api/library/items/item:42a070f9-a603-4023-8325-70ed7c1cb09e/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:24] "POST /api/library/items/item:42a070f9-a603-4023-8325-70ed7c1cb09e/render-frame HTTP/1.1" 400 -
127.0.0.1 - - [02/Aug/2026 20:50:24] "POST /api/library/items/item:42a070f9-a603-4023-8325-70ed7c1cb09e/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:27] "POST /api/library/save/lighting HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:28] "POST /api/native/choose-media HTTP/1.1" 400 -
127.0.0.1 - - [02/Aug/2026 20:50:29] "POST /api/library/items/item:8b241a9d-1d66-494f-833c-fbf90ad3bd8a/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:29] "POST /api/library/items/item:8b241a9d-1d66-494f-833c-fbf90ad3bd8a/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:29] "POST /api/library/items/item:8b241a9d-1d66-494f-833c-fbf90ad3bd8a/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:29] "POST /api/library/items/item:8b241a9d-1d66-494f-833c-fbf90ad3bd8a/render-frame HTTP/1.1" 400 -
127.0.0.1 - - [02/Aug/2026 20:50:29] "POST /api/library/items/item:8b241a9d-1d66-494f-833c-fbf90ad3bd8a/preview-session HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:31] "POST /api/library/save/lighting HTTP/1.1" 201 -
127.0.0.1 - - [02/Aug/2026 20:50:33] "POST /api/native/choose-media HTTP/1.1" 400 -
